Ticker,Score,Current Price,1M Change %,3M Change %,RSI,Volume Ratio,P/E,PEG,ROE,Profit Margin,Analyst Rating,52W Low %,52W High %
BAC,70.0,53.029998779296875,4.636934609254717,11.186323986235823,60.944558388283,1.1134890343175619,14.48907,,0.09871,0.29224002,1.64,38.17415713639696,-0.7672153030467967
NVDA,63.33333333333333,202.88999938964844,8.358253277799509,13.182031255253568,67.07634568787405,1.0063267795359887,57.639206,,1.09417,0.52414,1.34375,94.9611097919714,-4.382865801759863
GOOGL,61.66666666666667,281.4800109863281,14.936716211314227,43.35305547026833,77.69984783469778,2.3628942847128425,27.786774,,0.34829,0.31118,1.50746,90.79601767777417,-3.4671921117098896
MSFT,58.333333333333336,525.760009765625,1.1641083560414822,2.607811702103713,54.2111266371719,2.096406090746593,37.34091,,0.33280998,0.36146,1.21053,37.23626918134976,-5.189607738895821
JPM,53.333333333333336,309.44000244140625,0.07545337410810316,3.776129073922818,57.76410804399679,0.9096153321221789,15.326399,,0.16437,0.34721002,2.28,31.04158422023336,-2.2218147155061034
JNJ,51.66666666666667,189.0500030517578,1.6124697397427168,13.857265396017038,54.639237401283125,0.8544191740658964,18.24807,,0.33619,0.27259,2.16667,31.44693237786222,-2.792057175581449
AAPL,51.66666666666667,271.3999938964844,6.243882223053565,29.97273611467346,71.08862158700549,1.501107491615577,41.2462,,1.49814,0.24295999,2.04167,40.783606309550144,-0.9994968284608071
AMZN,50.0,222.86000061035156,1.010740007336497,-3.1843267532526753,50.079600444842136,2.1304525267481846,33.97256,,0.2477,0.105399996,1.28986,24.607208836975737,-6.694580315913464
ADBE,48.333333333333336,339.239990234375,-1.3033896690380575,-6.802200485061816,43.40649998765792,1.1821813477392429,21.13645,,0.52875,0.30012,2.025,3.5847298425572522,-19.7919422051419
CRM,48.333333333333336,256.6499938964844,8.893033746855217,-2.912686254431607,56.821409216864176,0.8301602729633871,37.249638,,0.11201999,0.16868,1.63636,13.518593442336597,-13.01989257511551
UNH,46.666666666666664,344.75,-1.019232821529381,30.403321272384854,42.536759609541775,1.3137411045542842,17.974453,,0.17476,0.04042,2.0,47.879361726132686,-15.455708209970476
PYPL,46.666666666666664,67.93000030517578,1.905185378482499,-2.5534339444473697,46.116433043336215,0.9836825189314833,13.640562,,0.24358,0.14963001,2.45455,6.909032619443428,-14.553458735627947
PFE,45.0,24.290000915527344,-10.731342400564813,2.015965814159504,42.27252219543654,2.978735966394474,12.851852,,0.12168,0.16844,2.45833,12.467593096720412,-12.278799396729541
TMO,45.0,556.219970703125,4.8028170957785,16.644169230213922,63.44293905385085,0.6533072905018215,32.13287,,0.13116999,0.15022,1.65385,44.429849114691,-3.808110802285525
PG,45.0,149.5800018310547,-1.6673134992949756,-1.4743556176866845,45.09783692777643,0.9190296977038882,21.868422,,0.31902,0.19739,2.0,2.487588786212318,-11.30704497598807
V,43.333333333333336,345.0299987792969,-0.8049874654458611,-1.5026368607113372,50.1734254814988,1.1869258088002357,33.82647,,0.52068,0.50145,1.625,5.152751538062712,-7.9552916363091715
MA,41.66666666666667,553.6799926757812,-3.374013954032351,-0.8404438818676141,38.27434548970203,1.6010689990281828,37.385548,,1.7694701,0.44926,1.68421,5.27774175226688,-7.869964651250978
NFLX,38.333333333333336,1089.0,-6.994621462668993,-8.039178778690703,32.45677689703381,0.9411843732772479,45.393913,,0.42861,0.24047,1.89796,0.15634609542298658,-18.801030445808983
TSLA,36.666666666666664,440.1000061035156,-4.213638991776136,37.945083474240214,52.342939639982724,0.8418808543990298,307.76227,,0.06791,0.05314,2.61702,62.53047052497605,-6.510885586082714
ABBV,35.0,228.1999969482422,-5.947661589268039,21.412027452909687,54.407375030445934,0.9435888365038759,109.18661,,1.1285399,0.06451,1.92857,31.296524604996666,-6.112858342096863
