year,portfolio_return,spy_return,excess_return,win_rate,n_months,auc,precision_at_topn,precision_at_10,spearman_corr,bottom_decile_rate
2018,-0.13135017276400396,-0.09463676473379112,-0.036713408030212835,0.45454545454545453,11,0.6048998421144682,0.45,0.13432835820895522,-0.03806615095069509,0.053304904051172705
2019,0.4138039593786558,0.22573377613711676,0.188070183241539,0.6363636363636364,11,0.6439092025194832,0.25,0.20496894409937888,-0.007447793602969336,0.037267080745341616
2020,0.3518171800951999,0.15906804034488253,0.19274913975031738,0.5454545454545454,11,0.6710470886650792,0.4,0.20315581854043394,0.10233697932502345,0.023668639053254437
2021,0.5452834531966722,0.28665432815834535,0.2586291250383268,0.8181818181818182,11,0.6340657801452825,0.35,0.17590822179732313,0.0026936243970290615,0.030592734225621414
2022,-0.3106644526696368,-0.14560515767476234,-0.16505929499487448,0.2727272727272727,11,0.6487280480392132,0.2,0.21933085501858737,0.025242130451789902,0.026022304832713755
2023,0.4013321432235948,0.16804699860539962,0.23328514461819516,0.6363636363636364,11,0.6287834623300314,0.4,0.19099099099099098,0.005226728351380268,0.05045045045045045
2024,0.17936782750668878,0.21042384100050926,-0.031056013493820478,0.45454545454545453,11,0.6553846534712886,0.15,0.17162872154115585,-0.015985403091332517,0.03152364273204904
2025,0.27783603399336276,0.12803786506086468,0.1497981689324981,0.75,8,0.6974109182421651,0.25,0.23076923076923078,0.09925389618153446,0.027149321266968326
