year,date,portfolio_return,gross_return,spy_return,excess_return,position_scale,vol_scale,kelly_scale,risk_off_scale,transaction_cost
2019,2019-03-29,0.009420745996472248,0.009420745996472248,0.02092211156456043,-0.011501365568088182,1.0,1.0,1.0,1.0,0.0025166666666666666
2019,2019-04-30,-0.041689606550553794,-0.041689606550553794,-0.05907985353566836,0.017390246985114564,1.0,1.0,1.0,1.0,0.0026
2019,2019-05-31,0.07278207888018483,0.07278207888018483,0.08204841346085132,-0.009266334580666488,1.0,1.0,1.0,1.0,0.00245
2019,2019-06-28,0.018177989892804385,0.018177989892804385,-0.00277340600584523,0.020951395898649614,1.0,1.0,1.0,1.0,0.00235
2019,2019-07-31,0.014209462799151262,0.014209462799151262,-0.013905936980551153,0.028115399779702413,1.0,1.0,1.0,1.0,0.0023666666666666667
2019,2019-08-30,0.002168596333629235,0.002168596333629235,0.01325643324533683,-0.011087836911707595,1.0,1.0,1.0,1.0,0.0025166666666666666
2019,2019-09-30,0.021144046988451806,0.021144046988451806,0.04399169053052294,-0.022847643542071132,1.0,1.0,1.0,1.0,0.0022833333333333334
2019,2019-10-31,0.009656463848597405,0.009656463848597405,0.01796515985846649,-0.008308696009869086,1.0,1.0,1.0,1.0,0.002416666666666667
2019,2019-11-29,0.06402599547941233,0.06402599547941233,0.04757806946453391,0.01644792601487842,1.0,1.0,1.0,1.0,0.0025
2020,2020-01-31,-0.07737407941503321,-0.07737407941503321,-0.046371679493933046,-0.03100239992110017,1.0,1.0,1.0,1.0,0.0025666666666666667
2020,2020-02-28,-0.28327598420519845,-0.28327598420519845,-0.1989471985723299,-0.08432878563286855,1.0,1.0,1.0,1.0,0.002616666666666667
2020,2020-03-31,0.1926269381341794,0.1926269381341794,0.14885234698121796,0.04377459115296142,1.0,1.0,1.0,1.0,0.0027333333333333333
2020,2020-04-30,0.11783762629716568,0.11783762629716568,0.08048380352666595,0.03735382277049973,1.0,1.0,1.0,1.0,0.00305
2020,2020-05-29,0.005800648531729547,0.005800648531729547,0.020737801655385447,-0.0149371531236559,1.0,1.0,1.0,1.0,0.0030166666666666666
2020,2020-06-30,0.04830700470741313,0.04830700470741313,0.05883705228691275,-0.010530047579499623,1.0,1.0,1.0,1.0,0.0025
2020,2020-07-31,0.03249356196671901,0.03249356196671901,0.07241698219241263,-0.039923420225693625,1.0,1.0,1.0,1.0,0.0026
2020,2020-08-31,-0.05044049610478413,-0.05044049610478413,-0.04030286735394574,-0.010137628750838387,1.0,1.0,1.0,1.0,0.0026
2020,2020-09-30,-0.018948641467521614,-0.018948641467521614,-0.020294661775709575,0.0013460203081879611,1.0,1.0,1.0,1.0,0.0025666666666666667
2020,2020-10-30,0.131120545462197,0.131120545462197,0.10847993874128165,0.022640606720915363,1.0,1.0,1.0,1.0,0.0025
2020,2020-11-30,-0.0011344236081626993,-0.0011344236081626993,0.011862756172204352,-0.012997179780367052,1.0,1.0,1.0,1.0,0.00255
2021,2021-01-29,0.06028395566403256,0.06028395566403256,0.0354833966907658,0.02480055897326676,1.0,1.0,1.0,1.0,0.0026833333333333336
2021,2021-02-26,0.03801617355595043,0.03801617355595043,0.03168065109833771,0.006335522457612722,1.0,1.0,1.0,1.0,0.0025666666666666667
2021,2021-03-31,0.042521172082138625,0.042521172082138625,0.04390812871815326,-0.0013869566360146315,1.0,1.0,1.0,1.0,0.00255
2021,2021-04-30,-0.0007848443311186809,-0.0007848443311186809,0.0035150522235220505,-0.004299896554640732,1.0,1.0,1.0,1.0,0.0025833333333333333
2021,2021-05-28,0.029114560446434155,0.029114560446434155,0.028994666034323213,0.00011989441211094146,1.0,1.0,1.0,1.0,0.002616666666666667
2021,2021-06-30,-0.0044212197140524765,-0.0044212197140524765,0.016634470787317904,-0.02105569050137038,1.0,1.0,1.0,1.0,0.0026666666666666666
2021,2021-07-30,-0.0064485039218072455,-0.0064485039218072455,0.032473265429574384,-0.03892176935138163,1.0,1.0,1.0,1.0,0.0026666666666666666
2021,2021-08-31,0.012957035603699367,0.012957035603699367,-0.03578759604554479,0.048744631649244155,1.0,1.0,1.0,1.0,0.0024333333333333334
2021,2021-09-30,0.03367913677310311,0.03367913677310311,0.05941415378119433,-0.02573501700809122,1.0,1.0,1.0,1.0,0.00245
2021,2021-10-29,-0.0772116070078656,-0.0772116070078656,-0.02073738086620738,-0.056474226141658215,1.0,1.0,1.0,1.0,0.00235
2021,2021-11-30,0.1138162483603801,0.1138162483603801,0.0641250994115239,0.04969114894885619,1.0,1.0,1.0,1.0,0.0024000000000000002
2022,2022-01-31,-0.021758271883372423,-0.021758271883372423,-0.05071204445854375,0.028953772575171326,1.0,1.0,1.0,1.0,0.0026666666666666666
2022,2022-02-28,0.07130872132839725,0.07130872132839725,0.05662365499854754,0.014685066329849707,1.0,1.0,1.0,1.0,0.0026833333333333336
2022,2022-03-31,-0.06979878283847576,-0.06979878283847576,-0.08487136078249315,0.015072577944017382,1.0,1.0,1.0,1.0,0.002333333333333333
2022,2022-04-29,0.0317420279052108,0.0317420279052108,-0.011798299256148934,0.043540327161359735,1.0,1.0,1.0,1.0,0.0022
